iter	Passed	Remaining
161	587	3039
162	588	3024
163	590	3008
164	591	2992
165	593	2980
166	594	2963
167	595	2950
168	597	2935
169	598	2922
170	600	2909
171	601	2896
172	602	2880
173	603	2866
174	604	2851
175	606	2837
176	607	2825
177	609	2813
178	610	2800
179	611	2786
180	613	2774
181	614	2760
182	615	2749
183	618	2740
184	619	2729
185	621	2718
186	622	2706
187	623	2694
188	628	2695
189	629	2683
190	630	2671
191	632	2661
192	633	2650
193	635	2640
194	637	2630
195	639	2621
196	640	2611
197	641	2599
198	646	2603
199	647	2590
200	650	2584
201	651	2574
202	663	2606
203	671	2621
204	673	2611
205	683	2634
206	685	2624
207	695	2647
208	696	2636
209	698	2626
210	705	2638
211	706	2627
212	708	2617
213	709	2606
214	712	2601
215	716	2599
216	718	2593
217	721	2587
218	722	2577
219	731	2592
220	736	2596
221	741	2597
222	747	2604
223	752	2607
224	757	2607
225	762	2611
226	763	2601
227	768	2602
228	773	2603
229	776	2600
230	779	2596
231	783	2593
232	789	2598
233	790	2588
234	792	2578
235	793	2568
236	801	2578
237	807	2584
238	811	2583
239	814	2580
240	818	2577
241	820	2571
242	823	2563
243	825	2558
244	828	2552
245	830	2546
246	833	2539
247	835	2532
248	837	2525
249	839	2518
250	841	2510
251	844	2505
252	846	2498
253	849	2494
254	851	2487
255	853	2481
256	855	2474
257	858	2470
258	862	2467
259	866	2465
260	870	2464
261	878	2474
262	883	2474
263	885	2468
264	889	2465
265	894	2466
266	896	2460
267	899	2458
268	902	2451
269	903	2443
270	905	2435
271	907	2428
272	909	2421
273	911	2416
274	912	2406
275	916	2403
276	917	2394
277	923	2399
278	926	2395
279	929	2389
280	931	2383
281	933	2375
282	937	2374
283	940	2371
284	941	2361
285	943	2355
286	944	2347
287	947	2343
288	948	2334
289	953	2334
290	957	2333
291	958	2324
292	961	2319
293	966	2321
294	968	2314
295	970	2309
296	976	2312
297	979	2308
298	981	2301
299	987	2305
300	1009	2343
301	1017	2351
302	1021	2349
303	1031	2361
304	1032	2353
305	1039	2356
306	1042	2354
307	1046	2350
308	1050	2348
309	1051	2340
310	1052	2332
311	1054	2324
312	1055	2315
313	1056	2307
314	1057	2299
315	1058	2292
316	1061	2286
317	1062	2278
318	1063	2269
319	1064	2261
320	1065	2253
321	1066	2246
322	1068	2238
323	1070	2232
324	1072	2227
325	1073	2218
326	1074	2210
327	1074	2202
328	1075	2193
329	1078	2189
330	1079	2182
331	1087	2188
332	1093	2191
333	1094	2183
334	1103	2190
335	1109	2192
336	1114	2193
337	1124	2202
338	1133	2210
339	1139	2211
340	1147	2216
341	1157	2227
342	1166	2234
343	1174	2239
344	1186	2252
345	1188	2247
346	1192	2244
347	1196	2241
348	1197	2234
349	1198	2225
350	1199	2218
351	1203	2215
352	1206	2210
353	1208	2206
354	1213	2205
355	1216	2199
356	1217	2192
357	1222	2192
358	1223	2185
359	1228	2183
360	1232	2181
361	1233	2173
362	1237	2170
363	1238	2163
364	1243	2163
365	1245	2157
366	1246	2150
367	1248	2143
368	1249	2137
369	1250	2129
370	1253	2124
371	1254	2118
372	1255	2110
373	1258	2105
374	1259	2098
375	1260	2092
376	1262	2085
377	1263	2079
378	1265	2073
379	1267	2067
380	1268	2061
381	1270	2054
382	1270	2047
383	1272	2041
384	1273	2034
385	1274	2027
386	1277	2023
387	1278	2017
388	1280	2011
389	1281	2004
390	1282	1997
391	1288	1997
392	1291	1994
393	1291	1987
394	1294	1982
395	1296	1977
396	1298	1971
397	1299	1965
398	1303	1963
399	1305	1957
400	1310	1957
401	1311	1951
402	1317	1952
403	1319	1946
404	1320	1939
405	1325	1939
406	1328	1935
407	1330	1930
408	1331	1923
409	1335	1921
410	1336	1915
411	1341	1914
412	1343	1910
413	1346	1905
414	1347	1899
415	1349	1894
416	1351	1889
417	1352	1883
418	1357	1882
419	1361	1880
420	1365	1877
421	1366	1871
422	1367	1865
423	1376	1869
424	1379	1866
425	1381	1861
426	1383	1856
427	1385	1851
428	1386	1844
429	1388	1840
430	1389	1834
431	1391	1829
432	1393	1824
433	1395	1820
434	1397	1815
435	1399	1810
436	1401	1805
437	1404	1801
438	1405	1795
439	1407	1791
440	1409	1786
441	1410	1780
442	1415	1779
443	1415	1773
444	1416	1766
445	1417	1760
446	1418	1754
447	1423	1753
448	1430	1755
449	1432	1751
450	1434	1745
451	1442	1748
452	1444	1743
453	1450	1744
454	1454	1742
455	1459	1740
456	1463	1738
457	1465	1733
458	1474	1737
459	1477	1734
460	1483	1734
461	1486	1730
462	1487	1725
463	1490	1721
464	1491	1715
465	1497	1716
466	1501	1713
467	1506	1712
468	1507	1706
469	1514	1707
470	1515	1702
471	1516	1696
472	1524	1698
473	1525	1692
474	1532	1693
475	1538	1693
476	1539	1687
477	1547	1689
478	1552	1688
479	1554	1684
480	1562	1686
481	1568	1685
482	1574	1685
483	1576	1680
484	1580	1678
485	1583	1674
486	1584	1668
487	1585	1663
488	1599	1671
489	1600	1665
490	1613	1672
491	1614	1667
492	1615	1661
493	1627	1667
494	1628	1661
495	1633	1660
496	1635	1654
497	1636	1649
498	1637	1644
499	1654	1654
500	1660	1654
501	1662	1649
502	1664	1644
503	1666	1639
504	1668	1635
505	1671	1631
506	1677	1631
507	1681	1628
508	1682	1623
509	1690	1624
510	1693	1620
511	1696	1616
512	1698	1612
513	1706	1613
514	1709	1610
515	1712	1606
516	1713	1600
517	1721	1601
518	1723	1597
519	1728	1595
520	1730	1590
521	1733	1587
522	1735	1582
523	1739	1580
524	1742	1576
525	1744	1571
526	1744	1565
527	1749	1563
528	1751	1559
529	1753	1554
530	1756	1551
531	1761	1549
532	1764	1545
533	1765	1540
534	1770	1539
535	1772	1534
536	1773	1529
537	1774	1523
538	1779	1522
539	1782	1518
540	1787	1516
541	1789	1512
542	1790	1507
543	1800	1508
544	1801	1503
545	1802	1498
546	1809	1498
547	1811	1494
548	1812	1489
549	1815	1485
550	1816	1480
551	1819	1476
552	1821	1472
553	1823	1467
554	1824	1462
555	1825	1458
556	1826	1452
557	1827	1447
558	1828	1442
559	1829	1437
560	1829	1431
561	1830	1426
562	1830	1421
563	1832	1416
564	1833	1411
565	1834	1406
566	1835	1401
567	1835	1396
568	1836	1391
569	1837	1386
570	1838	1381
571	1838	1376
572	1839	1370
573	1840	1365
574	1841	1361
575	1842	1356
576	1843	1351
577	1845	1347
578	1846	1342
579	1846	1337
580	1847	1332
581	1848	1327
582	1849	1322
583	1850	1317
584	1850	1313
585	1851	1308
586	1852	1303
587	1853	1298
588	1854	1294
589	1855	1289
590	1857	1285
591	1857	1280
592	1858	1275
593	1859	1270
594	1860	1266
595	1861	1261
596	1862	1257
597	1862	1252
598	1863	1247
599	1864	1242
600	1865	1238
601	1866	1234
602	1868	1230
603	1869	1225
604	1870	1221
605	1872	1217
606	1872	1212
607	1873	1207
608	1874	1203
609	1875	1198
610	1875	1194
611	1876	1189
612	1877	1185
613	1878	1180
614	1878	1176
615	1879	1171
616	1880	1167
617	1881	1162
618	1882	1158
619	1883	1154
620	1884	1150
621	1886	1146
622	1887	1142
623	1888	1137
624	1889	1133
625	1889	1129
626	1890	1124
627	1891	1120
628	1892	1115
629	1892	1111
630	1893	1107
631	1894	1102
632	1895	1098
633	1896	1094
634	1897	1090
635	1898	1086
636	1899	1082
637	1900	1078
638	1901	1074
639	1902	1069
640	1903	1065
641	1903	1061
642	1904	1057
643	1905	1053
644	1906	1049
645	1907	1045
646	1908	1041
647	1908	1036
648	1909	1032
649	1910	1028
650	1910	1024
651	1911	1020
652	1912	1016
653	1913	1012
654	1915	1008
655	1916	1004
656	1916	1000
657	1917	996
658	1918	992
659	1919	988
660	1919	984
661	1920	980
662	1921	976
663	1922	972
664	1923	968
665	1924	965
666	1925	961
667	1926	957
668	1927	953
669	1928	949
670	1928	945
671	1929	941
672	1930	937
673	1931	934
674	1931	930
675	1936	928
676	1937	924
677	1945	923
678	1946	920
679	1950	917
680	1955	915
681	1955	911
682	1957	908
683	1959	905
684	1960	901
685	1969	901
686	1976	900
687	1979	897
688	1984	895
689	1988	893
690	1993	891
691	1996	888
692	1998	885
693	2002	882
694	2009	881
695	2014	879
696	2014	875
697	2015	872
698	2019	869
699	2023	867
700	2026	864
701	2029	861
702	2031	858
703	2035	855
704	2037	852
705	2039	849
706	2040	845
707	2041	842
708	2046	839
709	2047	836
710	2049	833
711	2050	829
712	2051	825
713	2052	822
714	2054	818
715	2056	815
716	2057	812
717	2058	808
718	2059	804
719	2060	801
720	2062	798
721	2063	794
722	2064	790
723	2065	787
724	2066	783
725	2067	780
726	2069	776
727	2070	773
728	2071	770
729	2072	766
730	2074	763
731	2078	760
732	2079	757
733	2084	755
734	2085	751
735	2086	748
736	2088	745
737	2091	742
738	2092	739
739	2094	735
740	2097	733
741	2098	729
742	2100	726
743	2102	723
744	2104	720
745	2106	717
746	2110	714
747	2112	711
748	2115	708
749	2117	705
750	2119	702
751	2123	700
752	2124	697
753	2127	694
754	2128	690
755	2130	687
756	2133	684
757	2135	681
758	2137	678
759	2140	676
760	2142	672
761	2143	669
762	2146	666
763	2148	663
764	2152	661
765	2154	658
766	2157	655
767	2161	652
768	2163	650
769	2165	646
770	2170	644
771	2176	642
772	2181	640
773	2186	638
774	2190	635
775	2195	633
776	2197	630
777	2199	627
778	2200	624
779	2202	621
780	2204	618
781	2208	615
782	2210	612
783	2212	609
784	2213	606
785	2214	603
786	2215	599
787	2216	596
788	2217	593
789	2218	589
790	2219	586
791	2220	583
792	2224	580
793	2226	577
794	2228	574
795	2229	571
796	2232	568
797	2234	565
798	2236	562
799	2244	561
800	2246	558
801	2249	555
802	2250	552
803	2253	549
804	2258	547
805	2261	544
806	2264	541
807	2266	538
808	2267	535
809	2268	532
810	2269	528
811	2274	526
812	2275	523
813	2281	521
814	2284	518
815	2285	515
816	2286	512
817	2287	509
818	2290	506
819	2297	504
820	2298	501
821	2299	497
822	2300	494
823	2301	491
824	2303	488
825	2304	485
826	2308	482
827	2309	479
828	2310	476
829	2311	473
830	2312	470
831	2314	467
832	2315	464
833	2316	461
834	2317	458
835	2319	454
836	2320	451
837	2323	449
838	2329	447
839	2333	444
840	2337	442
841	2338	438
842	2339	435
843	2341	432
844	2342	429
845	2344	426
846	2345	423
847	2350	421
848	2354	418
849	2355	415
850	2356	412
851	2356	409
852	2365	407
853	2370	405
854	2371	402
855	2375	399
856	2376	396
857	2376	393
858	2379	390
859	2379	387
860	2382	384
861	2383	381
862	2387	378
863	2388	376
864	2394	373
865	2396	370
866	2398	367
867	2398	364
868	2401	361
869	2403	359
870	2405	356
871	2407	353
872	2408	350
873	2410	347
874	2412	344
875	2414	341
876	2415	338
877	2416	335
878	2420	333
879	2422	330
880	2423	327
881	2427	324
882	2428	321
883	2431	319
884	2434	316
885	2436	313
886	2441	310
887	2442	308
888	2444	305
889	2447	302
890	2452	300
891	2456	297
892	2459	294
893	2462	291
894	2467	289
895	2469	286
896	2471	283
897	2472	280
898	2473	277
899	2475	275
900	2479	272
901	2482	269
902	2483	266
903	2484	263
904	2485	260
905	2486	257
906	2487	255
907	2488	252
908	2489	249
909	2489	246
910	2490	243
911	2493	240
912	2497	237
913	2498	235
914	2499	232
915	2501	229
916	2501	226
917	2502	223
918	2506	220
919	2508	218
920	2510	215
921	2510	212
922	2511	209
923	2512	206
924	2514	203
925	2515	200
926	2516	198
927	2516	195
928	2517	192
929	2519	189
930	2523	187
931	2527	184
932	2531	181
933	2533	179
934	2537	176
935	2540	173
936	2541	170
937	2542	168
938	2543	165
939	2544	162
940	2545	159
941	2546	156
942	2548	154
943	2549	151
944	2553	148
945	2554	145
946	2556	143
947	2558	140
948	2559	137
949	2561	134
950	2562	132
951	2563	129
952	2565	126
953	2568	123
954	2569	121
955	2570	118
956	2571	115
957	2572	112
958	2573	110
959	2573	107
960	2574	104
961	2575	101
962	2576	98
963	2576	96
964	2577	93
965	2578	90
966	2579	88
967	2579	85
968	2580	82
969	2581	79
970	2581	77
971	2583	74
972	2584	71
973	2585	69
974	2586	66
975	2587	63
976	2587	60
977	2588	58
978	2589	55
979	2590	52
980	2590	50
981	2591	47
982	2592	44
983	2592	42
984	2593	39
985	2596	36
986	2597	34
987	2599	31
988	2600	28
989	2600	26
990	2601	23
991	2602	20
992	2602	18
993	2603	15
994	2604	13
995	2604	10
996	2605	7
997	2606	5
998	2606	2
999	2607	0
