iter	RMSE
0	0.3345086653
1	0.3297756975
2	0.3251752867
3	0.3209468459
4	0.3164052588
5	0.3117230067
6	0.3072749862
7	0.3030208105
8	0.2984984584
9	0.2945728879
10	0.2906906295
11	0.2871416724
12	0.2842701836
13	0.2804997804
14	0.2767577063
15	0.273178082
16	0.269456043
17	0.2657422409
18	0.2623757759
19	0.2589037389
20	0.2557382997
21	0.25297256
22	0.2501725488
23	0.2474381535
24	0.2445188994
25	0.2420217886
26	0.2396439757
27	0.2363468448
28	0.2342709808
29	0.2318336643
30	0.2291821618
31	0.2262992821
32	0.2238311437
33	0.2212444507
34	0.2189511398
35	0.2171099951
36	0.2151060066
37	0.2131459703
38	0.2111073239
39	0.2088086962
40	0.2067376213
41	0.205049637
42	0.2035349236
43	0.2016639348
44	0.2000125833
45	0.1982023833
46	0.1964466707
47	0.1946793536
48	0.1928935967
49	0.1909427395
50	0.1892217058
51	0.1876516472
52	0.1860784776
53	0.184777242
54	0.1832312611
55	0.1815644771
56	0.1801431824
57	0.1787714444
58	0.1774749979
59	0.1761839675
60	0.1749627728
61	0.1737186789
62	0.1726488808
63	0.1713345266
64	0.1702800711
65	0.1689194336
66	0.1676516305
67	0.1665229596
68	0.165597962
69	0.1644509063
70	0.1633420997
71	0.1622715547
72	0.1611867034
73	0.1601232241
74	0.15921626
75	0.1584883731
76	0.1575531732
77	0.1568091275
78	0.1557597932
79	0.1547942061
80	0.1539454273
81	0.152982224
82	0.1518818242
83	0.1508664549
84	0.1501677037
85	0.1492847811
86	0.1483687239
87	0.1474246561
88	0.1466692594
89	0.1458800807
90	0.1451825871
91	0.1444644148
92	0.1437920302
93	0.1433009502
94	0.1426135371
95	0.1418362178
96	0.1412912686
97	0.1405068764
98	0.1398406101
99	0.1390101498
100	0.1384548401
101	0.1377483649
102	0.137166421
103	0.1367220328
104	0.1362213852
105	0.1356782931
106	0.1351198068
107	0.1345348937
108	0.1340442005
109	0.1336136972
110	0.1330572867
111	0.1324900676
112	0.1319202584
113	0.1314744889
114	0.1309135751
115	0.1305120407
116	0.1300335416
