unique_id,ds,LinearRegression,ElasticNet,ARDRegression,TweedieRegressor,Lasso,Ridge,HistGradientBoostingRegressor,LGBMRegressor,XGBRegressor,CatBoostRegressor,LinearRegression-lo-95,LinearRegression-lo-80,LinearRegression-hi-80,LinearRegression-hi-95,ElasticNet-lo-95,ElasticNet-lo-80,ElasticNet-hi-80,ElasticNet-hi-95,ARDRegression-lo-95,ARDRegression-lo-80,ARDRegression-hi-80,ARDRegression-hi-95,TweedieRegressor-lo-95,TweedieRegressor-lo-80,TweedieRegressor-hi-80,TweedieRegressor-hi-95,Lasso-lo-95,Lasso-lo-80,Lasso-hi-80,Lasso-hi-95,Ridge-lo-95,Ridge-lo-80,Ridge-hi-80,Ridge-hi-95,HistGradientBoostingRegressor-lo-95,HistGradientBoostingRegressor-lo-80,HistGradientBoostingRegressor-hi-80,HistGradientBoostingRegressor-hi-95,LGBMRegressor-lo-95,LGBMRegressor-lo-80,LGBMRegressor-hi-80,LGBMRegressor-hi-95,XGBRegressor-lo-95,XGBRegressor-lo-80,XGBRegressor-hi-80,XGBRegressor-hi-95,CatBoostRegressor-lo-95,CatBoostRegressor-lo-80,CatBoostRegressor-hi-80,CatBoostRegressor-hi-95
total,2026-05-21T00:00:00.000,6.278490874689088,6.490794287851982,6.263886847462249,6.432449283762584,6.514657096911942,6.286642438830094,6.377282447286673,6.398971420634122,6.248034,6.091620693222981,5.8683926730756095,5.99268270740593,6.564299041972246,6.688589076302566,5.946270823422534,6.01506863937784,6.966519936326125,7.03531775228143,5.821985959154295,5.924510696469065,6.603262998455433,6.705787735770203,5.9519167024507,6.030969968736197,6.8339285987889715,6.912981865074468,5.922657296832824,5.974955670756558,7.054358523067326,7.10665689699106,5.903134601409218,6.037504510743811,6.535780366916376,6.670150276250969,5.899414124012768,5.946397314520302,6.808167580053043,6.855150770560577,5.925968214762439,5.964374841864402,6.833567999403842,6.871974626505804,5.700592424588899,5.793296116146814,6.702771884646643,6.795475576204558,5.625916870354562,5.737996710764906,6.445244675681056,6.5573245160914
total,2026-05-28T00:00:00.000,6.130455058098632,6.4850779986836224,6.2024292664816265,6.416888529640088,6.509316600012243,6.15187948291532,6.271225019268403,6.265804497132025,5.976366,6.019178003774096,5.708228330141926,5.773285631149691,6.487624485047573,6.552681786055338,5.950703716938681,6.014273526166253,6.955882471200992,7.019452280428564,5.7039566629101985,5.77222906497855,6.632629467984703,6.7009018700530545,5.923572954451297,6.024594239460759,6.809182819819418,6.91020410482888,5.924648089209678,6.0597745225541155,6.958858677470371,7.093985110814807,5.7682575931979265,5.8325189555504675,6.471240010280173,6.535501372632714,5.758454011366004,5.820697175386723,6.721752863150083,6.783996027170803,5.75708179106941,5.87767268293558,6.6539363113284695,6.774527203194639,5.418767144132706,5.614581105399266,6.338150980782375,6.533964942048935,5.534678406133028,5.729719084554999,6.308636922993193,6.503677601415163
total,2026-06-04T00:00:00.000,6.202228986549721,6.479361709515262,6.2676999608517825,6.425284727536404,6.503976103112543,6.214859814455961,6.271225019268403,6.265804497132025,6.1264873,6.041557913130746,5.5797678006648725,5.82266172379275,6.5817962493066915,6.824690172434568,5.961305554330762,5.997903259156673,6.96082015987385,6.997417864699761,5.625624341983201,5.8199852562371355,6.7154146654664295,6.909775579720363,5.922847439166626,6.013726085568833,6.836843369503976,6.927722015906182,5.92493671610547,6.063029121654958,6.944923084570128,7.0830154901196165,5.658126770684925,5.875053800942731,6.554665827969191,6.771592858226996,5.683741467007545,5.861326381273725,6.681123657263082,6.85870857152926,5.703017763553692,5.866897093257832,6.664711901006217,6.828591230710356,5.430432136164121,5.67352019631035,6.579454313882521,6.8225423740287505,5.4932862352638905,5.636351905534671,6.446763920726822,6.589829590997602
total,2026-06-11T00:00:00.000,6.220405639441185,6.473645420346902,6.315480595989252,6.427844549415744,6.498635606212844,6.240548692327714,6.271225019268403,6.265804497132025,6.2590814,6.057812125973615,5.3758757075460855,5.768843032142128,6.671968246740243,7.064935571336283,5.524724713337253,6.017356305562557,6.929934535131246,7.422566127356549,5.393698595902414,5.783236036270818,6.847725155707686,7.237262596076089,5.551753080878326,6.045689439944892,6.809999658886596,7.303936017953163,5.486386158464368,5.978532472982862,7.018738739442826,7.510885053961318,5.381909448664915,5.849099617530614,6.631997767124814,7.099187935990512,5.3511710108302974,5.787340041213266,6.75510999732354,7.191279027706508,5.322737182346236,5.792910753197374,6.738698241066675,7.208871811917812,5.375104713223279,5.532849380108322,6.985313347247635,7.143058014132677,5.190152951566628,5.608845173772186,6.506779078175045,6.925471300380602
