unique_id,ds,BiTCN,BiTCN-lo-95,BiTCN-lo-80,BiTCN-hi-80,BiTCN-hi-95,NHITS,NHITS-lo-95,NHITS-lo-80,NHITS-hi-80,NHITS-hi-95
total,2026-05-17T00:00:00.000,5.850000858306885,5.700829464993586,5.704765308658595,5.995236407955175,5.999172251620184,5.930848121643066,5.821051119274874,5.846544889193173,6.01515135409296,6.040645124011259
total,2026-05-24T00:00:00.000,5.819559097290039,5.682378976360468,5.702783613220362,5.936334581359716,5.95673921821961,5.764089584350586,5.670190358651858,5.685539018637144,5.842640150064028,5.857988810049314
total,2026-05-31T00:00:00.000,6.160334587097168,5.9357845172173,5.983922389654281,6.336746784540055,6.384884656977036,5.928532600402832,5.821077459271838,5.83797650161925,6.019088699186414,6.035987741533826
total,2026-06-07T00:00:00.000,6.150994777679443,5.895839176172433,5.92475868197059,6.377230873388297,6.406150379186454,5.992206573486328,5.677249556706213,5.7198223537639175,6.264590793208739,6.307163590266443
