unique_id,cutoff,metric,LinearRegression,ElasticNet,ARDRegression,TweedieRegressor,Lasso,Ridge,HistGradientBoostingRegressor,LGBMRegressor,XGBRegressor,CatBoostRegressor,SeasonalNaive,ml_ensemble
total,2024-07-25T00:00:00.000,mase,753.0905653825871,903.1681364170823,727.720552368582,848.7346269780177,1225.937552528976,769.2795654749978,1740.66882717398,1740.669062449102,827.7056153361906,852.2875532412872,1486.677658782535,810.7835593581427
total,2024-10-03T00:00:00.000,mase,498.39398774973574,449.2080032819473,662.9849615601994,770.6065673650318,170.17608241328492,450.2770477819846,679.5611303562978,659.8342279483869,515.5942268786529,480.2078150466127,1739.1365176589472,412.6440683506149
total,2024-12-12T00:00:00.000,mase,937.7612432046349,750.6645093084048,878.9869282944775,901.5381938730218,781.556676247433,899.7024480794404,929.6451294756522,1049.9552969334961,1150.5600122039568,866.6026767936035,1297.2240253866726,743.1361917959425
total,2025-02-20T00:00:00.000,mase,510.54394441898256,1817.587632038052,590.0881233727075,1833.2512199049188,1723.7056456610312,437.8230609574323,582.0043926054557,591.2975122004705,1161.8491353506677,334.52984340746883,1188.0267514833722,239.75082951828878
total,2025-05-01T00:00:00.000,mase,367.889011227954,246.98023513335272,275.8143421511801,232.79435871848432,345.8952017419306,341.2090270681001,449.18440201616215,270.5001837515896,491.7223988835936,463.26258788957625,805.8894971201486,402.23580747883824
total,2025-07-10T00:00:00.000,mase,478.5871155700565,1614.4847877400482,529.4677920861556,1286.2372752870801,1840.0621877211843,529.7577358880282,1087.8187282558758,963.8007237563592,561.1378966733886,655.907323288101,695.2960649416618,574.448526486931
total,2025-09-18T00:00:00.000,mase,376.65229609851133,621.3791024861498,630.7337009905449,424.43749403168664,776.8354819325929,362.3180929668619,214.07958442692384,225.05416376635205,226.78736574805603,342.38260352489135,1659.7775187667705,323.4417934762517
total,2025-11-27T00:00:00.000,mase,274.0705179728039,349.402199275108,499.1131963856779,338.6094658145451,412.79197989894396,275.15502322218543,435.92552283417075,455.4007865298713,544.8389911519882,506.79082629772216,1438.812541229311,365.032482013743
total,2026-02-05T00:00:00.000,mase,1243.2595999144555,958.9851323560026,1982.3988378447777,878.7702861518818,910.142493591557,1157.7931029038903,1381.0443497389062,2406.4409595427937,1193.0482725182205,1222.7461522411909,3337.423761220573,1145.5026022187683
total,2026-04-16T00:00:00.000,mase,560.1223782160571,735.0329145411212,790.7250800166062,623.2887170358238,804.5982699028405,544.7000644959227,422.2629279605894,432.5263302460655,259.855044283577,253.27991043460568,2116.0596332852133,366.04862825328814
total,2024-07-25T00:00:00.000,rmae_SeasonalNaive,0.506559415172288,0.6075077075932531,0.4894945101714413,0.5708935100787488,0.8246155750621267,0.5174487966039482,1.1708448142009766,1.170844972456615,0.5567485395684311,0.5732833531239312,1.0,0.5453660748639398
total,2024-10-03T00:00:00.000,rmae_SeasonalNaive,0.28657554061404233,0.2582936984651593,0.3812150195389169,0.4430972264341535,0.09785090513903937,0.25890839690267836,0.3907462832596118,0.3794033540487035,0.29646564352101273,0.2761185278847579,1.0,0.23726950941497987
total,2024-12-12T00:00:00.000,rmae_SeasonalNaive,0.7228984545866007,0.5786699094511829,0.6775906945081993,0.6949749435948769,0.602483966494892,0.6935598096182807,0.7166419302159829,0.8093862558709,0.8869401041666658,0.668043961439343,1.0,0.572866503589795
total,2025-02-20T00:00:00.000,rmae_SeasonalNaive,0.42974111801903164,1.5299214683243534,0.49669598991430336,1.543106009705521,1.4508980067231732,0.36852963151777995,0.4898916559570431,0.49771397105509235,0.9779654657607507,0.2815844365371187,1.0,0.20180591827493405
total,2025-05-01T00:00:00.000,rmae_SeasonalNaive,0.4565005655770522,0.30646910775725233,0.3422483394271851,0.2888663514667662,0.42920921910260573,0.4233943093779145,0.5573771635209611,0.3356541867318333,0.6101610712644436,0.5748462903971924,1.0,0.4991202998875535
total,2025-07-10T00:00:00.000,rmae_SeasonalNaive,0.6883213348981226,2.322010535002107,0.7614997679162474,1.8499130660188627,2.6464441271871326,0.7619167756004444,1.564540320456363,1.3861731316388595,0.8070488601434417,0.9433496841998297,1.0,0.8261926903543305
total,2025-09-18T00:00:00.000,rmae_SeasonalNaive,0.2269293877280416,0.3743749360744686,0.3800109917497772,0.2557195101347363,0.46803591032476966,0.21829316813259858,0.128980891719745,0.1355929702756604,0.13663720780876767,0.2062822273790554,1.0,0.1948705713983714
total,2025-11-27T00:00:00.000,rmae_SeasonalNaive,0.19048382615475398,0.24284066844217336,0.34689244226300614,0.23533952902943117,0.28689767990641607,0.191237576360778,0.3029758987656023,0.316511549267412,0.3786726731520437,0.3522285299686947,1.0,0.25370398961206014
total,2026-02-05T00:00:00.000,rmae_SeasonalNaive,0.37252074919601064,0.28734293304284486,0.5939907484567584,0.2633079731626574,0.27270810023198755,0.3469122250392496,0.4138055124392793,0.7210474700589722,0.35747581304505816,0.3663742574284317,1.0,0.3432295938948524
total,2026-04-16T00:00:00.000,rmae_SeasonalNaive,0.2647006584339303,0.34735926293342306,0.37367807011610255,0.29455158410075566,0.38023421327389056,0.2574124357971273,0.19955152554232136,0.20440176800431759,0.12280138054528655,0.11969412697570575,1.0,0.17298597000548246
total,2024-07-25T00:00:00.000,spis,70.60833583540756,84.67932281103444,68.22969177666612,79.57574072961408,114.94156798821184,72.1261856238771,163.20179109518716,163.2018131541341,77.60410068451738,79.90885632331154,139.38806331611204,76.01752097359434
total,2024-10-03T00:00:00.000,spis,51.391982999269494,46.320161629626064,68.36380997914871,79.4612306379495,17.547736427866766,46.43039633975857,70.07306451652462,68.038921533073,53.16558865789263,49.516712628130925,179.3313654373728,42.549865100043924
total,2024-12-12T00:00:00.000,spis,99.20182192708059,79.40964453266675,92.98433409224661,95.36993772895491,82.67759708011317,95.17574189431375,98.34325235543668,111.07035948921472,121.71290962828786,91.67425615823907,137.22787937596365,78.61325545315044
total,2025-02-20T00:00:00.000,spis,52.5317581661838,187.01832619076606,60.71635347478181,188.6300107848776,177.35846075032651,45.049237013218466,59.88458846338972,60.84079197243401,119.54696255048113,34.42101512584132,122.24047447062621,24.668851200908353
total,2025-05-01T00:00:00.000,spis,38.249640214419834,25.678682552629976,28.676581880078473,24.203768509441204,35.96293070663401,35.47570632703742,46.70197054731168,28.12406565745929,51.124671486898045,48.16568794058863,83.78881232287044,41.820697133813034
total,2025-07-10T00:00:00.000,spis,47.446726291782255,160.05867131401092,52.490993999082626,127.51648751375654,182.4222260490112,52.51973878505761,107.84543874139446,95.55039751837133,55.63074167530816,65.02610335373845,68.93107025195546,56.95034638046644
total,2025-09-18T00:00:00.000,spis,40.47564633865215,66.77437269061664,67.77963251413554,45.61071863689677,83.47995898529265,38.935270393748056,23.005327824481146,24.184673328701823,24.37092593135834,36.792971438984495,178.36229473795288,34.757562291509615
total,2025-11-27T00:00:00.000,spis,32.47650962382971,41.40308111677781,59.143371734016085,40.124175546445066,48.91457427448676,32.605020145242776,51.65582763995718,53.963586217998774,64.56173714146462,60.053147158133214,170.49484084514847,43.2552213306874
total,2026-02-05T00:00:00.000,spis,155.6356456290636,120.0491596712135,248.16371660714012,110.00758076132743,113.93486494237757,144.93664644754995,172.88402923152515,301.2468131614958,149.35001360358555,153.0676995034707,417.79054177508976,143.39807798657444
total,2026-04-16T00:00:00.000,spis,82.23380560411854,107.91312069964796,116.08951015934004,91.50750833274782,118.1262886288008,79.96959407151294,61.99410857736299,63.500919697941264,38.15035790022056,37.18503621377153,310.66717434948964,53.741062503708804
total,2024-07-25T00:00:00.000,nd,0.13987612351305734,0.1677509500312944,0.135163995600431,0.15764068090890843,0.22770089070193417,0.14288300566052992,0.3233050831561326,0.32330512685522217,0.15373483377048966,0.1583005876660478,0.27612974771278015,0.1505917966632889
total,2024-10-03T00:00:00.000,nd,0.0910987518244938,0.08210831072285585,0.12118344916085155,0.1408550226532088,0.031105569246989106,0.08230371560732877,0.12421331774769925,0.12060754353914944,0.09424269086517498,0.08777459929769586,0.3178873941205781,0.07542498605219591
total,2024-12-12T00:00:00.000,nd,0.17660385698369765,0.14136887038709714,0.1655351859547722,0.1697821523440257,0.14718663676585345,0.16943643557449894,0.17507539011791154,0.19773279866552976,0.21667917854234556,0.16320292217573562,0.24429967426710156,0.13995110022552026
total,2025-02-20T00:00:00.000,nd,0.06374957862044027,0.2269548917674744,0.07368194182921309,0.22891074128270736,0.21523222394032768,0.05466921300596642,0.07267255872766662,0.07383295337092453,0.14507545062241273,0.04177140241562931,0.14834414475930374,0.029936726353861038
total,2025-05-01T00:00:00.000,nd,0.06287449919406157,0.042210444239714144,0.04713837082388312,0.03978599053766802,0.05911562161251165,0.05831472548144886,0.07676838247568792,0.04623014840403721,0.0840383882875796,0.07917443120053921,0.13773148148148145,0.06874457834099405
total,2025-07-10T00:00:00.000,nd,0.11507393334370807,0.388194978102442,0.12730794338579263,0.30926946770031005,0.44243396165375837,0.12737765895615513,0.26156069763025186,0.23174117445692477,0.13492286527920505,0.15770971082203386,0.1671805412812607,0.138123341176058
total,2025-09-18T00:00:00.000,nd,0.09694670441714978,0.15993704752024923,0.16234483184956472,0.10924615807116629,0.19995003515915336,0.09325721740630745,0.055102040816326456,0.05792679274361548,0.058372902383609614,0.08812601278506588,0.42721088435374166,0.0832508291416172
total,2025-11-27T00:00:00.000,nd,0.07855815726933989,0.10015084119201352,0.14306322791260523,0.09705726783420675,0.11832056040278398,0.07886901425085877,0.12495143962884836,0.13053372859442228,0.1561698334792566,0.14526390408364093,0.4124137931034481,0.10463102468138753
total,2026-02-05T00:00:00.000,nd,0.28167847702330867,0.21727197729952888,0.4491411814035585,0.1990981415897621,0.20620596976424396,0.26231480372763527,0.312895608578343,0.5452140683869755,0.27030237324637957,0.2770308582158609,0.7561417119213859,0.25953021270973575
total,2026-04-16T00:00:00.000,nd,0.28287023449433346,0.3712026888829272,0.39932807097839307,0.31477018666372114,0.40633424075293795,0.2750817338592511,0.21324913643139923,0.21843230911671274,0.13123070987654328,0.12791016828416163,1.068641975308642,0.18486006868734028
