unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-95,SeasonalNaive-hi-80,SeasonalNaive-hi-95,AutoETS,AutoETS-lo-95,AutoETS-lo-80,AutoETS-hi-80,AutoETS-hi-95,AutoARIMA,AutoARIMA-lo-95,AutoARIMA-lo-80,AutoARIMA-hi-80,AutoARIMA-hi-95,CES,CES-lo-95,CES-lo-80,CES-hi-80,CES-hi-95,AutoMFLES,AutoMFLES-lo-95,AutoMFLES-lo-80,AutoMFLES-hi-80,AutoMFLES-hi-95,AutoTBATS,AutoTBATS-lo-80,AutoTBATS-lo-95,AutoTBATS-hi-80,AutoTBATS-hi-95,AutoTheta,AutoTheta-lo-80,AutoTheta-hi-80,AutoTheta-lo-95,AutoTheta-hi-95
all,2026-05-17T00:00:00.000,7.01211529430638,6.5613154370194025,6.322676407668367,7.462915151593357,7.701554180944393,6.803255307469812,6.258310851739137,6.446935280221768,7.159575334717856,7.348199763200488,6.335468584860098,5.956301819899335,6.087544763263969,6.583392406456227,6.714635349820861,6.276752777397633,5.877926683425903,6.013673210144043,6.53797550201416,6.670798420906067,6.4335382820653715,5.929134020086315,6.22855554040199,6.638521023728753,6.937942544044428,6.138995368033102,5.933566661347419,5.824819272962373,6.344424074718785,6.453171463103831,6.057989451477773,5.8060808181762695,6.363810062408447,5.72274112701416,6.457263946533203
all,2026-05-24T00:00:00.000,6.52649485957079,6.075695002283813,5.837055972932777,6.9772947168577675,7.215933746208803,6.407124317561107,5.862171959430571,6.050799123211528,6.763449511910686,6.952076675691643,5.798251968866026,5.418246521847662,5.549779762548345,6.046724175183707,6.17825741588439,5.8779284954071045,5.489421141147614,5.6197632312774655,6.142343807220459,6.278852701187134,6.297894027633343,5.962539309532573,6.041755612260038,6.554032443006648,6.633248745734113,6.049606333272904,5.841275773863224,5.730992237437799,6.257936892682585,6.36822042910801,6.0555862313592606,5.720592498779297,6.386072158813477,5.520463466644287,6.542552471160889
all,2026-05-31T00:00:00.000,6.677083461247136,6.226283603960159,5.987644574609123,7.1278833185341135,7.366522347885149,6.258037103423065,5.713074745279914,5.901705370416693,6.614368836429437,6.802999461566215,5.957668513091445,5.568099451982338,5.702942995637982,6.212394030544908,6.347237574200552,5.726333796977997,5.326625883579254,5.468254661560058,5.998330736160279,6.12893978357315,6.195550571675236,5.807507996542155,5.920810776737443,6.470290366613029,6.583593146808317,5.992984038526634,5.781595172337712,5.66969266609795,6.204372904715556,6.316275410955319,6.053183011240749,5.589276313781738,6.429178237915039,5.425149440765381,6.625283241271973
all,2026-06-07T00:00:00.000,6.739336627357174,6.288536770070197,6.049897740719161,7.190136484644151,7.428775513995187,6.4748671866280665,5.929892534244217,6.118527414849789,6.831206958406344,7.019841839011916,6.0184112463022075,5.621607058996574,5.758954934111081,6.277867558493334,6.415215433607841,5.959796756505966,5.564526951313019,5.696115589141845,6.222132396697998,6.3683176875114444,6.214159899161599,5.557050337932356,5.734503625883335,6.693816172439863,6.871269460390841,5.979426960197395,5.764555591154301,5.650809559262527,6.194298329240488,6.3080443611322625,6.050779791122238,5.615568161010742,6.374663352966309,5.445775508880615,6.681421279907227
