unique_id,ds,SeasonalNaive,AutoETS,AutoARIMA,CES,AutoMFLES,AutoTBATS,AutoTheta
all,2026-05-21,8.639159819190052,8.466857893775108,8.070963313751504,7.9439114183187485,8.072906988738335,7.790612897279994,7.940356342357813
all,2026-05-28,8.036406190034773,8.032114404167311,7.354564346750996,7.506221204996109,7.940603258920172,7.666924383420212,7.539987958752395
all,2026-06-04,8.209116284348132,7.845315628862513,7.550674220200463,7.306616306304932,7.845244184304482,7.596778500058873,7.366872574159415
all,2026-06-11,8.194679203600181,8.049004083117277,7.531419082909229,7.524047076702118,7.8794191081526845,7.5911924899356675,7.562831489159064
all,2026-06-18,8.227766932087832,8.103469512395424,7.565498857890963,7.585484474897385,8.014696265005535,7.63814149629332,7.620289255548277
all,2026-06-25,8.426289668023955,8.243759373837888,7.763817329672529,7.731183886528015,8.12132280341366,7.70919610586635,7.754141686750036
all,2026-07-02,8.248157260795574,8.147538967490071,7.5857269808003664,7.635030910372734,8.104664951452394,7.7715062250203255,7.668174758342275
all,2026-07-09,8.230349434146738,8.162836606226536,7.567910494260465,7.654588595032692,8.005703580005095,7.800425863686998,7.686680009673892
all,2026-07-16,7.9436840360663385,8.070484792373243,7.281246879267185,7.559509694576263,7.937714156259357,7.788104582102832,7.601049357559721
all,2026-07-23,8.341473633389613,8.116613011272607,7.679036109449619,7.611085921525955,7.953466511342024,7.745111715154621,7.652327163199788
all,2026-07-30,8.192542523888381,8.021887366424183,7.5301050755433465,7.5182914435863495,8.005955488846455,7.694905045228468,7.568462883605737
all,2026-08-06,7.883024478504113,8.133339437664223,7.220587014593939,7.630122795701027,8.024927578489443,7.663653344709351,7.668074512731839
all,2026-08-13,8.295589953210476,8.126317137165055,7.633152492505193,7.622368395328522,8.004593781092408,7.669567607633184,7.667102299954358
all,2026-08-20,8.18915484931087,8.196079271040864,7.526717387945697,7.696458041667938,7.996819495797419,7.715904627678625,7.73390998653402
