unique_id,cutoff,metric,SeasonalNaive,AutoETS,AutoARIMA,CES,AutoMFLES,AutoTBATS,AutoTheta,stat_ensemble
all,2024-07-25T00:00:00.000,mase,1486.677658782535,1273.9249721336025,1099.993870016771,858.34717248056,1573.2516269838309,799.5784364946463,858.265257006069,891.9565558161097
all,2024-10-03T00:00:00.000,mase,1739.1365176589472,1533.4327449851653,225.73945230974883,523.5194521858697,274.8864580545536,719.7411381148255,457.0650879952279,361.02340215776866
all,2024-12-12T00:00:00.000,mase,1297.2240253866726,1132.1832149278002,1162.229961514858,1115.6202243850876,964.6170053668069,938.2040000997458,1029.403150434628,1138.9250929499728
all,2025-02-20T00:00:00.000,mase,1188.0267514833722,667.86467930809,148.19659077773687,575.3562971312064,1035.2366446945794,790.0561670164184,3182.867762063388,257.5170300026253
all,2025-05-01T00:00:00.000,mase,805.8894971201486,1098.5112893588714,315.65490326737,373.90136739312123,442.2660070914426,867.8724486949096,393.06241996432817,326.76662039363816
all,2025-07-10T00:00:00.000,mase,695.2960649416618,1354.912513944981,689.6868900789468,706.4773919844268,1460.5372926283599,706.933175375385,718.7769152470408,585.6451358255943
all,2025-09-18T00:00:00.000,mase,1659.7775187667705,1650.3480487973695,873.026427447463,412.7670403276751,983.7065018023178,695.0430254895248,368.08748258037764,600.5314249109732
all,2025-11-27T00:00:00.000,mase,1438.812541229311,701.9823211670869,517.5486795580475,505.20142409411517,546.2660721107268,358.24347307939695,371.46314936875194,476.01701882867343
all,2026-02-05T00:00:00.000,mase,3337.423761220573,2201.0066729231194,1145.1405170960347,1183.9491905079599,1366.9920094399024,1610.8773504198923,1884.9229050755607,1164.5448538019973
all,2026-04-16T00:00:00.000,mase,2116.0596332852133,1488.626461614778,257.5711576220044,273.2786700740547,424.1522464130564,662.3431945525854,224.196426026346,243.5241536104943
all,2024-07-25T00:00:00.000,rmae_SeasonalNaive,1.0,0.8568938697692147,0.7399007199163633,0.5773593000539705,1.0582331803332492,0.5378290524318732,0.5773042003664175,0.5999663414237003
all,2024-10-03T00:00:00.000,rmae_SeasonalNaive,1.0,0.8817207444124743,0.12979973108357062,0.30102263213389335,0.15805916054512986,0.41384970691298545,0.2628115063735672,0.20758773017068408
all,2024-12-12T00:00:00.000,rmae_SeasonalNaive,1.0,0.8727738561505001,0.8959361981970879,0.8600058297968594,0.7436009405386065,0.7232397656373107,0.7935430814487009,0.8779710139969737
