unique_id,ds,SeasonalNaive,AutoETS,AutoARIMA,CES,AutoMFLES,AutoTBATS,AutoTheta
all,2026-05-21,7.01211529430638,6.803255307469812,6.335468584860098,6.276752777397633,6.4335382820653715,6.138995368033102,6.057989451477773
all,2026-05-28,6.52649485957079,6.407124317561107,5.798251968866026,5.8779284954071045,6.297894027633343,6.049606333272904,6.0555862313592606
all,2026-06-04,6.677083461247136,6.258037103423065,5.957668513091445,5.726333796977997,6.195550571675236,5.992984038526634,6.053183011240749
all,2026-06-11,6.739336627357174,6.4748671866280665,6.0184112463022075,5.959796756505966,6.214159899161599,5.979426960197395,6.050779791122238
all,2026-06-18,6.68586094706836,6.448349603707457,5.965193996279622,5.9323534816503525,6.3305939845491075,6.002573998965517,6.048376571003727
all,2026-06-25,6.838405200847344,6.601006835458415,6.117694033461806,6.090494558215141,6.428021541504326,6.043451027836789,6.045973350885216
all,2026-07-02,6.726233402358747,6.504774610689061,6.005529800292321,5.999060019850731,6.415972153147277,6.078857497742255,6.043570130766705
all,2026-07-09,6.621405651764134,6.444968379186257,5.900700755295664,5.942086428403854,6.324791583941319,6.0907233457418135,6.041166910648194
all,2026-07-16,6.440946540632921,6.425527462320829,5.720241865632525,5.9257845133543015,6.254983717948786,6.072881432790535,6.038763690529683
all,2026-07-23,6.716594773520978,6.402128365369143,5.995890060628101,5.902653679251671,6.258846963717176,6.032837591028297,6.0363604704111715
all,2026-07-30,6.577861357721047,6.362167707030874,5.857156651311452,5.865041077136993,6.30077143959938,5.988113400666501,6.03395725029266
all,2026-08-06,6.2878585601617845,6.4133044457113,5.567153852642922,5.917941376566887,6.319377547477668,5.958815669052276,6.031554030174149
all,2026-08-13,6.57507584059962,6.419489540251959,5.854371133270549,5.927916392683983,6.304701090709973,5.959468501116302,6.029150810055638
all,2026-08-20,6.53813982376767,6.463576158831463,5.817435116406126,5.974808007478714,6.29744969527286,5.993325673988039,6.026747589937127
all,2026-08-27,6.501289670540389,6.378481808880642,5.780584963184401,5.890577971935272,6.325650640290742,6.051322499200903,6.024344369818616
all,2026-09-03,6.5998704992128365,6.441992625608341,5.8791657918558995,5.95726703107357,6.370620908211569,6.11595783809532,6.021941149700105
all,2026-09-10,6.546785410760524,6.5185165448525,5.826080703403749,6.037856627255678,6.398243086595828,6.168450512058739,6.019537929581594
all,2026-09-17,6.541029999189903,6.508842333082172,5.8203252918331,6.02966583147645,6.403319654682721,6.19624303903445,6.0171347094630825
all,2026-09-24,6.610696044717759,6.515890128266287,5.889991337360959,6.0404694974422455,6.405988480018146,6.197816851691839,6.014731489344571
all,2026-10-01,6.697034247666484,6.5215795096837414,5.976329540309686,6.0462335254997015,6.4153761606866215,6.182874194634776,6.01232826922606
all,2026-10-08,6.548219102762372,6.477745008923426,5.827514395405571,6.002939485013485,6.4214215246084745,6.167806561573749,6.009925049107549
all,2026-10-15,6.523562306149512,6.504650216193666,5.802857598792714,6.033358458429575,6.424658058194334,6.168280850890531,6.007521828989038
all,2026-10-22,6.650279048587422,6.614724381416381,5.929574341230623,6.14651894569397,6.449323232844657,6.191982157690447,6.005118608870526
all,2026-10-29,6.704414354964107,6.602375735563653,5.983709647607308,6.133053041994572,6.507141618723141,6.2345705827931415,6.002715388752014
all,2026-11-05,6.594413459749778,6.61036468642978,5.87370875239298,6.141617737710476,6.558501709306869,6.280706800024597,6.000312168633503
all,2026-11-12,6.723832440821209,6.6397471953386775,6.003127733464409,6.174690395593643,6.538301465665398,6.310018033715775,5.997908948514992
all,2026-11-19,6.698268054115413,6.570249360428112,5.977563346758615,6.103475134819746,6.434984992984952,6.305864934190734,5.9955057283964805
all,2026-11-26,6.684611727667927,6.418645861916189,5.963907020311129,6.000670421868563,6.320214167318385,6.263513277150928,5.993102508277969
all,2026-12-03,6.690842277418564,6.39237331807606,5.970137570061763,5.930816732347012,6.277581756135565,6.19432784261929,5.990699288159458
